x,exact,euler,taylor2,taylor3,taylor4,midpoint,modified_euler,heun,rk4
1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1.4000000000,0.4710611313,0.4000000000,0.4800000000,0.4693333333,0.4714666667,0.4666666667,0.4571428571,0.4705882353,0.4708994709
1.8000000000,1.0580159968,0.9142857143,1.0742857143,1.0551292517,1.0586495627,1.0500000000,1.0321995465,1.0572159299,1.0577569917
2.2000000000,1.7346061928,1.5174603175,1.7574603175,1.7307546821,1.7354230823,1.7233333333,1.6979408598,1.7335321135,1.7342686464
2.6000000000,2.4843297571,2.1933621934,2.5133621934,2.4795971312,2.4853146821,2.4700000000,2.4374266106,2.4830054848,2.4839207028
3.0000000000,3.2958368660,2.9308025308,3.3308025308,3.2902649344,3.2969834861,3.2785714286,3.2390819866,3.2942746213,3.2953594015
3.4000000000,4.1608364675,3.7215762016,4.2015762016,4.1544484072,4.1621417781,4.1407142857,4.0944889965,4.1590431523,4.1602921257
3.8000000000,5.0730040536,4.5594086959,5.1194086959,5.0658137330,5.0744664842,5.0500793651,4.9972462160,5.0709838562,5.0723936620
4.2000000000,6.0273550062,5.4393464533,6.0793464533,6.0193712266,6.0289736721,6.0016666667,5.9423197525,6.0251106135,6.0266790434
4.6000000000,7.0198589961,6.3573794489,7.0773794489,7.0110876095,7.0216333682,6.9914357864,6.9256462713,7.0173922104,7.0191177538
5.0000000000,8.0471895622,7.3101950531,8.1101950531,8.0376346102,8.0491193086,8.0160533911,7.9438763819,8.0445016372,8.0463832268
