x,exact,Euler,Taylor2,Taylor3,Taylor4,Midpoint,ModifiedEuler,Heun,RK4
1.000000,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
1.400000,4.710611312697e-01,4.000000000000e-01,4.800000000000e-01,4.693333333333e-01,4.714666666667e-01,4.666666666667e-01,4.571428571429e-01,4.705882352941e-01,4.708994708995e-01
1.800000,1.058015996824e+00,9.142857142857e-01,1.074285714286e+00,1.055129251701e+00,1.058649562682e+00,1.050000000000e+00,1.032199546485e+00,1.057215929850e+00,1.057756991686e+00
2.200000,1.734606192801e+00,1.517460317460e+00,1.757460317460e+00,1.730754682120e+00,1.735423082327e+00,1.723333333333e+00,1.697940859846e+00,1.733532113495e+00,1.734268646404e+00
2.600000,2.484329757071e+00,2.193362193362e+00,2.513362193362e+00,2.479597131210e+00,2.485314682069e+00,2.470000000000e+00,2.437426610587e+00,2.483005484780e+00,2.483920702807e+00
3.000000,3.295836866004e+00,2.930802530803e+00,3.330802530803e+00,3.290264934434e+00,3.296983486138e+00,3.278571428571e+00,3.239081986574e+00,3.294274621275e+00,3.295359401547e+00
3.400000,4.160836467515e+00,3.721576201576e+00,4.201576201576e+00,4.154448407173e+00,4.162141778117e+00,4.140714285714e+00,4.094488996549e+00,4.159043152339e+00,4.160292125675e+00
3.800000,5.073004053583e+00,4.559408695879e+00,5.119408695879e+00,5.065813733046e+00,5.074466484220e+00,5.050079365079e+00,4.997246215957e+00,5.070983856165e+00,5.072393662050e+00
4.200000,6.027355006215e+00,5.439346453340e+00,6.079346453340e+00,6.019371226645e+00,6.028973672091e+00,6.001666666667e+00,5.942319752474e+00,6.025110613550e+00,6.026679043351e+00
4.600000,7.019858996077e+00,6.357379448896e+00,7.077379448896e+00,7.011087609530e+00,7.021633368177e+00,6.991435786436e+00,6.925646271343e+00,7.017392210444e+00,7.019117753809e+00
5.000000,8.047189562171e+00,7.310195053148e+00,8.110195053148e+00,8.037634610233e+00,8.049119308578e+00,8.016053391053e+00,7.943876381895e+00,8.044501637195e+00,8.046383226765e+00
